probeset	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
YBL029W	6.071869e-01	4.561451e-01	4.077428e-01	3.967203e-01	5.073876e-01	3.796441e-01	5.170448e-01	1.773608e+00	2.675034e+00	9.689389e-01	1.272859e+00	1.278772e+00	
YBL030C	4.065133e+01	3.629235e+01	3.040995e+01	2.617967e+01	2.204961e+01	1.922353e+01	2.030759e+01	2.233014e+01	3.248526e+01	3.105874e+01	3.579064e+01	3.197917e+01	
YBL032W	5.264665e+00	4.697791e+00	3.665536e+00	2.418894e+00	2.113251e+00	1.663733e+00	1.720141e+00	1.757174e+00	2.271078e+00	3.442940e+00	4.620325e+00	4.706833e+00	
YBL033C	9.609044e+00	1.141342e+01	1.213707e+01	1.092427e+01	1.149692e+01	1.048285e+01	1.283560e+01	1.380531e+01	1.024414e+01	6.768426e+00	6.917355e+00	6.399824e+00	
YBL034C	2.722608e+00	1.989563e+00	1.909203e+00	1.788745e+00	1.657459e+00	1.723888e+00	1.911535e+00	1.761441e+00	2.618174e+00	3.107670e+00	2.960078e+00	2.765187e+00	
YBL035C	1.684807e+00	1.107971e+00	1.128513e+00	9.580283e-01	1.023952e+00	1.018427e+00	1.172715e+00	1.131821e+00	3.543640e+00	4.956345e+00	3.495011e+00	2.716910e+00	
YBL036C	1.675615e+00	1.904447e+00	2.081057e+00	2.025808e+00	2.179596e+00	2.515661e+00	2.508432e+00	3.554918e+00	2.919459e+00	2.129541e+00	2.106109e+00	2.253602e+00	
YBL037W	1.418025e+00	1.311100e+00	1.080230e+00	8.988599e-01	7.927598e-01	9.098595e-01	8.371246e-01	6.550355e-01	7.827913e-01	1.267196e+00	1.382912e+00	1.588996e+00	
YBL038W	3.963691e+00	2.858860e+00	2.163984e+00	1.773111e+00	1.515281e+00	1.669946e+00	1.520170e+00	1.517125e+00	2.508847e+00	3.994454e+00	4.123358e+00	4.424182e+00	
YBL041W	1.191242e+01	1.524664e+01	1.742876e+01	1.454697e+01	1.332560e+01	1.397370e+01	1.329455e+01	1.236906e+01	1.037312e+01	1.231658e+01	1.126509e+01	1.038039e+01	
YBL043W	9.836842e+00	4.490057e+00	5.686240e+00	4.512879e+00	4.648776e+00	4.989768e+00	5.323781e+00	2.805518e+00	7.423230e+00	8.943875e+00	8.780354e+00	8.838478e+00	
YBL045C	1.409038e+01	1.653917e+01	1.792061e+01	1.378403e+01	9.879261e+00	9.513333e+00	9.362737e+00	5.742931e+00	1.163236e+01	1.195601e+01	1.533504e+01	1.434088e+01	
YBL047C	5.730170e+00	6.444843e+00	7.777159e+00	6.403028e+00	6.012216e+00	5.997431e+00	5.386055e+00	3.743006e+00	3.190944e+00	4.182605e+00	3.934304e+00	3.918841e+00	
YBL049W	1.840074e+00	3.594182e+00	3.807105e+00	4.543452e+00	5.882751e+00	5.821135e+00	4.780535e+00	3.705361e+00	2.606463e+00	2.475368e+00	1.527934e+00	1.343994e+00	
YBL052C	8.083353e-01	7.469287e-01	7.077403e-01	6.808699e-01	6.493621e-01	7.032161e-01	7.378032e-01	6.630203e-01	6.978566e-01	9.789800e-01	9.179572e-01	1.203950e+00	
YBL058W	5.419216e+00	8.337600e+00	7.376544e+00	6.553982e+00	6.750817e+00	6.625724e+00	7.379646e+00	4.807852e+00	4.895790e+00	5.468343e+00	4.317681e+00	4.598278e+00	
YBL059W	2.186845e+00	1.331547e+00	1.261616e+00	1.081003e+00	1.062666e+00	9.586705e-01	1.091154e+00	1.013104e+00	1.751388e+00	2.097564e+00	2.189448e+00	2.561371e+00	
YBL061C	1.738756e+00	1.040785e+00	1.133889e+00	9.848026e-01	1.061193e+00	9.140738e-01	1.012384e+00	3.016591e+00	4.027625e+00	2.607369e+00	2.408038e+00	2.332708e+00	
YBL064C	1.077677e+01	1.747243e+01	1.565888e+01	1.559433e+01	1.583794e+01	1.364678e+01	1.308741e+01	7.914458e+00	4.807343e+00	7.284188e+00	7.020773e+00	7.257706e+00	
YBL066C	6.559331e-01	5.871803e-01	5.660674e-01	4.659583e-01	4.995774e-01	4.151375e-01	4.540180e-01	4.747681e-01	8.556031e-01	6.804786e-01	6.607666e-01	7.223826e-01	
YBL067C	1.987140e+00	4.307183e+00	3.474823e+00	3.158858e+00	2.518574e+00	2.593001e+00	2.878275e+00	1.833891e+00	1.033231e+00	9.246378e-01	8.573550e-01	1.044129e+00	
YBL068W	4.123626e+00	3.028208e+00	3.821298e+00	3.870074e+00	3.773249e+00	4.032362e+00	5.068879e+00	9.673676e+00	1.032362e+01	6.035246e+00	6.301458e+00	6.420322e+00	
YBL075C	9.291185e-01	9.020280e+00	2.197436e+01	3.155858e+01	3.288552e+01	3.247267e+01	3.114849e+01	2.052769e+01	3.404110e+00	1.945546e+00	1.534641e+00	1.313982e+00	
YBL076C	3.598818e+00	2.095505e+00	4.144194e+00	3.647805e+00	3.767267e+00	4.571277e+00	4.307074e+00	6.986768e+00	8.629882e+00	5.202201e+00	4.962026e+00	6.702823e+00	
YBL078C	7.667223e+00	1.314498e+01	1.807862e+01	1.770284e+01	1.597668e+01	1.612388e+01	1.453709e+01	9.395227e+00	5.646887e+00	5.750140e+00	5.449904e+00	5.459275e+00	
YBL080C	1.167222e+00	8.890326e-01	9.953324e-01	6.799977e-01	5.702600e-01	6.331054e-01	5.283316e-01	3.987190e-01	4.872585e-01	1.153866e+00	1.244028e+00	1.130514e+00	
YBL082C	1.549260e+00	1.095441e+00	1.206832e+00	9.711823e-01	1.017551e+00	1.078224e+00	9.549572e-01	1.757012e+00	2.418200e+00	1.905029e+00	1.879024e+00	1.604946e+00	
YBL084C	2.375343e+00	4.476586e+00	3.962117e+00	3.654316e+00	3.766266e+00	3.506325e+00	3.666444e+00	2.340047e+00	4.214917e+00	2.729048e+00	1.859965e+00	2.471889e+00	
YBL089W	1.422158e+00	1.640303e+00	1.595457e+00	1.306612e+00	1.254414e+00	1.355203e+00	1.490913e+00	1.172731e+00	1.940679e+00	1.475189e+00	1.229789e+00	1.348835e+00	
YBL090W	2.702756e+00	1.586179e+00	9.537196e-01	7.451081e-01	7.790850e-01	7.185563e-01	6.890301e-01	8.358431e-01	1.502261e+00	2.391987e+00	2.300353e+00	2.465826e+00	
